izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
94952,Hillary Clinton,95,94,90,90,89,94,50,100,89,79,21,99,78,89,2,Not too confident,No,Yes,Not very strong Democrat,Moderate,Not too important,29nov2016 22:59:43,29nov2016 23:28:24
85298,Donald Trump,97,99,100,100,75,97,100,52,97,29,75,84,48,97,51,Very confident,Yes,No,Strong Republican,Conservative,Very important,29nov2016 15:41:28,29nov2016 18:58:28
54904,Hillary Clinton,77,83,77,90,51,75,50,69,75,89,25,50,99,94,0,Not too confident,No,No,Lean Democrat,Moderate,Not at all important,29nov2016 16:08:39,29nov2016 16:32:43
74104,Gary Johnson,99,51,100,99,50,99,40,50,89,40,30,80,99,99,11,Somewhat confident,No,No,Lean Democrat,Moderate,Not too important,14dec2016 18:46:33,14dec2016 19:11:20
78253,Donald Trump,91,75,90,93,65,95,91,36,90,2,30,70,30,96,1,Very confident,Yes,Yes,Strong Republican,Conservative,Very important,01dec2016 10:17:47,01dec2016 10:59:48
94954,Hillary Clinton,100,97,98,98,99,100,26,100,100,100,NA,100,100,52,NA,Not too confident,Yes,No,Strong Democrat,Very liberal,Not at all important,29nov2016 15:30:37,29nov2016 15:50:15
40601,Hillary Clinton,100,99,95,93,90,100,100,88,91,100,37,90,91,44,4,Very confident,Yes,Yes,Strong Democrat,Moderate,Very important,30nov2016 05:50:01,30nov2016 08:46:00
53142,Donald Trump,20,60,6,31,1,50,80,50,1,1,2,0,1,80,1,Very confident,No,Yes,Strong Republican,Conservative,Somewhat important,29nov2016 18:58:36,29nov2016 19:35:57
94707,Hillary Clinton,100,100,100,100,100,100,67,100,100,100,25,100,78,78,NA,Very confident,Yes,No,Strong Democrat,Liberal,Not at all important,21dec2016 13:20:32,21dec2016 13:36:12
5733,Hillary Clinton,55,52,80,53,76,49,52,97,84,80,2,63,89,51,0,Not too confident,Yes,Yes,Strong Democrat,Liberal,Not at all important,29nov2016 22:27:57,29nov2016 22:42:00
15001,Hillary Clinton,91,85,82,80,84,90,83,89,76,88,0,91,84,89,0,Somewhat confident,No,Yes,Strong Democrat,Very liberal,Not at all important,01dec2016 06:30:02,01dec2016 06:52:33
32145,Hillary Clinton,62,49,66,61,54,56,46,88,NA,70,28,76,24,98,0,Somewhat confident,Yes,Yes,Strong Democrat,Moderate,Somewhat important,29nov2016 15:47:57,29nov2016 16:15:56
98229,Donald Trump,55,59,53,50,27,50,50,17,52,6,53,51,26,100,79,Somewhat confident,No,No,Strong Republican,Conservative,Somewhat important,01dec2016 14:14:05,01dec2016 14:34:32
98387,Hillary Clinton,90,90,90,90,90,90,25,91,90,90,25,90,90,NA,1,Not too confident,Yes,No,Strong Democrat,Very liberal,Somewhat important,29nov2016 15:32:45,29nov2016 15:54:45
68526,Hillary Clinton,69,51,61,96,60,97,39,99,69,90,31,67,88,88,3,Somewhat confident,Yes,No,Lean Democrat,Liberal,Not too important,29nov2016 19:31:57,29nov2016 20:01:34
98023,Hillary Clinton,51,50,50,50,50,50,10,59,89,54,6,95,87,78,3,Not too confident,Yes,No,Lean Democrat,Moderate,Very important,29nov2016 17:18:02,29nov2016 17:37:35
94402,Hillary Clinton,93,99,97,98,87,97,52,80,98,98,31,99,97,89,1,Not at all confident,Yes,No,Not very strong Democrat,Moderate,Not at all important,29nov2016 17:34:49,29nov2016 17:51:03
37135,Donald Trump,4,99,80,81,6,91,97,28,50,3,78,1,53,100,NA,Not too confident,Yes,Yes,Strong Republican,Conservative,Somewhat important,29nov2016 20:37:53,29nov2016 20:51:53
